timestamp,rssi,remote_rssi,txbuf,noise,remote_noise,attack
506908766,190,192,100,31,34,1
507833761,195,194,100,29,36,1
508875791,175,180,98,31,32,1
509806788,180,181,97,27,34,1
510850795,185,187,100,29,38,1
511897769,185,180,93,40,34,1
512809760,186,184,97,33,35,1
513848762,182,180,98,30,35,1
514900762,189,191,97,28,38,1
515811764,178,176,100,30,40,1
516850762,184,180,100,32,36,1
517909758,190,190,92,30,36,1
518819799,181,194,100,34,33,1
519860958,188,185,100,28,35,1
520894763,192,191,100,26,35,1
521830757,187,189,95,28,40,1
522863765,188,187,99,33,32,1
523904766,192,189,100,34,34,1
524824795,185,190,100,34,33,1
525877763,190,191,97,29,38,1
526807772,189,189,100,31,34,1
527834956,186,191,100,35,30,1
528860761,190,195,100,30,34,1
529916780,189,187,100,31,31,1
530832798,181,179,97,28,34,1
531866843,186,190,98,29,39,1
532807763,188,183,100,33,41,1
533873631,195,193,100,32,41,1
534867823,191,184,100,43,33,1
535806760,184,186,97,32,36,1
536837764,185,184,97,29,32,1
537884766,191,192,100,26,37,1
538809762,182,185,97,29,39,1
539848764,187,187,100,34,41,1
540882763,186,183,98,30,36,1
541824101,189,195,98,32,35,1
542842756,189,191,100,31,34,1
543884763,183,178,100,26,46,1
544811764,190,188,97,33,35,1
545860473,190,190,100,35,34,1
546900736,184,177,100,30,31,1
547814916,181,183,100,32,34,1
548859767,182,177,97,38,42,1
549897932,183,181,98,34,37,1
550810860,185,187,95,35,40,1
551867760,188,185,96,32,40,1
552913681,182,184,97,31,34,1
553817975,183,181,98,33,34,1
554874909,186,176,99,37,37,1
